experiment_type,parameter_value,gps_rmse,ekf_rmse,improvement_percent
gps_noise,0.2,0.27805416470267497,0.14996835961286398,46.06505542787821
gps_noise,0.5,0.7106497578594511,0.2999206622765423,57.79627601929624
gps_noise,1.0,1.3720370022310793,0.39866410999613805,70.9436327629745
gps_noise,2.0,2.819158995863397,0.8828413643591905,68.68422938704062
process_noise,0.001,0.7283648435259175,0.21900538832308256,69.93191114731643
process_noise,0.01,0.6982135776625898,0.28534155158282304,59.13262636082484
process_noise,0.1,0.6966078631260445,0.404844260764495,41.883478181290315
angular_velocity,0.05,0.72472182107551,0.2936723494750827,59.47792091601938
angular_velocity,0.2,0.7395067414483825,0.30451832366775755,58.821426959362896
angular_velocity,0.5,0.735431968880202,0.2749686448091119,62.61127385748677
